link_id,t_min,avg_weekday_speed_mph,length_mi,lanes,avg_weekday_flow_veh_per_hr_lane
4,1185,69.1,1.831,1,1340.0
4,1200,69.0,1.831,1,1377.0
4,1215,69.3,1.831,1,1339.0
4,1230,68.7,1.831,1,1402.0
4,1245,69.2,1.831,1,1383.0
4,1260,69.7,1.831,1,1302.0
4,1275,68.4,1.831,1,1428.0
4,1290,68.3,1.831,1,1464.0
4,1305,68.3,1.831,1,1418.0
4,1320,68.6,1.831,1,1373.0
4,1335,69.0,1.831,1,1380.0
4,1350,70.1,1.831,1,1251.0
4,1365,69.7,1.831,1,1308.0
4,1380,69.2,1.831,1,1375.0
4,1395,69.3,1.831,1,1375.0
4,1410,69.6,1.831,1,1350.0
4,1425,68.5,1.831,1,1447.0
5,0,67.0,0.133,1,1536.0
5,15,65.5,0.133,1,1679.0
5,30,66.9,0.133,1,1532.0
5,45,68.2,0.133,1,1448.0
5,60,68.6,0.133,1,1346.0
5,75,69.3,0.133,1,1291.0
5,90,69.9,0.133,1,1263.0
5,105,69.9,0.133,1,1269.0
5,120,69.7,0.133,1,1305.0
5,135,68.2,0.133,1,1394.0
5,150,69.0,0.133,1,1314.0
5,165,69.4,0.133,1,1317.0
5,180,69.3,0.133,1,1318.0
5,195,69.2,0.133,1,1335.0
5,210,69.6,0.133,1,1327.0
5,225,71.3,0.133,1,1255.0
5,240,71.1,0.133,1,1285.0
5,255,70.6,0.133,1,1276.0
5,270,70.8,0.133,1,1225.0
5,285,71.4,0.133,1,1186.0
5,300,70.7,0.133,1,1220.0
5,315,69.6,0.133,1,1310.0
5,330,69.7,0.133,1,1276.0
5,345,70.4,0.133,1,1222.0
5,360,70.6,0.133,1,1210.0
5,375,69.7,0.133,1,1257.0
5,390,68.1,0.133,1,1418.0
5,405,66.6,0.133,1,1521.0
5,420,65.6,0.133,1,1630.0
5,435,65.6,0.133,1,1667.0
5,450,66.0,0.133,1,1612.0
5,465,65.1,0.133,1,1690.0
5,480,65.1,0.133,1,1658.0
5,495,65.2,0.133,1,1675.0
5,510,66.3,0.133,1,1611.0
5,525,67.4,0.133,1,1388.0
5,540,68.0,0.133,1,1367.0
5,555,67.8,0.133,1,1456.0
5,570,68.7,0.133,1,1385.0
5,585,68.7,0.133,1,1340.0
5,600,68.2,0.133,1,1416.0
5,615,68.4,0.133,1,1399.0
5,630,68.4,0.133,1,1418.0
5,645,69.0,0.133,1,1379.0
5,660,68.4,0.133,1,1434.0
5,675,69.0,0.133,1,1328.0
5,690,69.4,0.133,1,1281.0
5,705,69.1,0.133,1,1330.0
5,720,69.4,0.133,1,1285.0
5,735,69.6,0.133,1,1265.0
5,750,68.4,0.133,1,1392.0
5,765,68.0,0.133,1,1454.0
5,780,68.9,0.133,1,1344.0
5,795,68.7,0.133,1,1392.0
5,810,68.5,0.133,1,1399.0
5,825,67.8,0.133,1,1475.0
5,840,68.3,0.133,1,1412.0
5,855,69.1,0.133,1,1339.0
5,870,68.8,0.133,1,1369.0
5,885,67.9,0.133,1,1378.0
5,900,64.1,0.133,1,1550.0
5,915,64.2,0.133,1,1503.0
5,930,66.8,0.133,1,1363.0
5,945,65.4,0.133,1,1496.0
5,960,63.8,0.133,1,1463.0
5,975,67.0,0.133,1,1486.0
5,990,68.2,0.133,1,1330.0
5,1005,69.4,0.133,1,1288.0
5,1020,69.5,0.133,1,1317.0
5,1035,68.1,0.133,1,1435.0
5,1050,69.6,0.133,1,1310.0
5,1065,68.3,0.133,1,1438.0
5,1080,68.6,0.133,1,1367.0
5,1095,68.7,0.133,1,1355.0
5,1110,69.4,0.133,1,1322.0
5,1125,68.5,0.133,1,1382.0
5,1140,67.3,0.133,1,1518.0
5,1155,66.9,0.133,1,1588.0
5,1170,67.6,0.133,1,1510.0
5,1185,67.5,0.133,1,1524.0
5,1200,67.7,0.133,1,1464.0
5,1215,68.2,0.133,1,1419.0
5,1230,68.1,0.133,1,1430.0
5,1245,68.3,0.133,1,1455.0
5,1260,69.0,0.133,1,1347.0
5,1275,67.3,0.133,1,1500.0
5,1290,67.1,0.133,1,1574.0
5,1305,67.4,0.133,1,1525.0
5,1320,67.6,0.133,1,1498.0
5,1335,67.5,0.133,1,1489.0
5,1350,68.4,0.133,1,1439.0
5,1365,67.7,0.133,1,1457.0
5,1380,67.5,0.133,1,1491.0
5,1395,67.3,0.133,1,1441.0
5,1410,67.9,0.133,1,1427.0
5,1425,67.6,0.133,1,1448.0
6,0,67.2,1.542,1,1540.0
6,15,65.1,1.542,1,1683.0
6,30,66.5,1.542,1,1594.0
6,45,67.8,1.542,1,1459.0
6,60,68.9,1.542,1,1381.0
6,75,70.2,1.542,1,1277.0
6,90,70.4,1.542,1,1275.0
6,105,70.7,1.542,1,1246.0
6,120,70.5,1.542,1,1250.0
6,135,69.8,1.542,1,1321.0
6,150,70.3,1.542,1,1290.0
6,165,70.8,1.542,1,1262.0
6,180,71.0,1.542,1,1244.0
6,195,70.5,1.542,1,1270.0
6,210,70.5,1.542,1,1264.0
6,225,71.9,1.542,1,1206.0
6,240,71.3,1.542,1,1250.0
6,255,70.6,1.542,1,1242.0
6,270,71.1,1.542,1,1182.0
6,285,72.1,1.542,1,1163.0
6,300,71.7,1.542,1,1176.0
6,315,70.5,1.542,1,1214.0
6,330,70.3,1.542,1,1219.0
6,345,70.6,1.542,1,1183.0
6,360,69.0,1.542,1,1349.0
6,375,69.0,1.542,1,1360.0
6,390,66.5,1.542,1,1539.0
6,405,65.3,1.542,1,1644.0
6,420,64.7,1.542,1,1693.0
6,435,64.6,1.542,1,1741.0
6,450,66.3,1.542,1,1637.0
6,465,65.1,1.542,1,1711.0
6,480,64.9,1.542,1,1721.0
6,495,64.4,1.542,1,1730.0
6,510,65.4,1.542,1,1675.0
6,525,65.4,1.542,1,1652.0
6,540,67.5,1.542,1,1488.0
6,555,67.1,1.542,1,1485.0
6,570,69.2,1.542,1,1351.0
6,585,69.1,1.542,1,1328.0
6,600,69.0,1.542,1,1307.0
6,615,69.6,1.542,1,1282.0
6,630,69.3,1.542,1,1295.0
6,645,69.8,1.542,1,1269.0
6,660,69.6,1.542,1,1309.0
6,675,69.3,1.542,1,1294.0
6,690,69.5,1.542,1,1265.0
6,705,69.5,1.542,1,1281.0
6,720,69.7,1.542,1,1252.0
6,735,69.8,1.542,1,1231.0
6,750,69.5,1.542,1,1292.0
6,765,69.0,1.542,1,1333.0
6,780,69.5,1.542,1,1283.0
6,795,69.5,1.542,1,1294.0
6,810,69.5,1.542,1,1281.0
6,825,68.8,1.542,1,1345.0
6,840,68.8,1.542,1,1396.0
6,855,68.7,1.542,1,1297.0
6,870,68.4,1.542,1,1379.0
6,885,68.0,1.542,1,1305.0
6,900,64.9,1.542,1,1382.0
6,915,63.8,1.542,1,1320.0
6,930,64.8,1.542,1,1349.0
6,945,64.2,1.542,1,1433.0
6,960,66.6,1.542,1,1396.0
6,975,68.4,1.542,1,1369.0
6,990,68.8,1.542,1,1265.0
6,1005,69.5,1.542,1,1257.0
6,1020,70.0,1.542,1,1236.0
6,1035,69.0,1.542,1,1348.0
6,1050,70.1,1.542,1,1257.0
6,1065,69.2,1.542,1,1335.0
6,1080,69.5,1.542,1,1278.0
6,1095,70.1,1.542,1,1212.0
6,1110,70.3,1.542,1,1232.0
6,1125,69.8,1.542,1,1294.0
6,1140,68.6,1.542,1,1366.0
6,1155,68.0,1.542,1,1454.0
6,1170,68.3,1.542,1,1414.0
6,1185,67.9,1.542,1,1495.0
6,1200,68.0,1.542,1,1416.0
6,1215,68.7,1.542,1,1386.0
6,1230,68.3,1.542,1,1441.0
6,1245,68.1,1.542,1,1476.0
6,1260,69.1,1.542,1,1337.0
6,1275,67.9,1.542,1,1443.0
6,1290,68.0,1.542,1,1478.0
6,1305,68.0,1.542,1,1451.0
6,1320,68.0,1.542,1,1447.0
6,1335,68.1,1.542,1,1421.0
6,1350,68.5,1.542,1,1390.0
6,1365,68.1,1.542,1,1437.0
6,1380,67.3,1.542,1,1535.0
6,1395,67.8,1.542,1,1460.0
6,1410,68.1,1.542,1,1428.0
6,1425,67.4,1.542,1,1497.0
7,0,64.6,0.042,1,1710.0
7,15,63.7,0.042,1,1768.0
7,30,65.9,0.042,1,1636.0
7,45,67.2,0.042,1,1551.0
7,60,67.3,0.042,1,1519.0
7,75,68.5,0.042,1,1412.0
7,90,68.5,0.042,1,1406.0
7,105,68.4,0.042,1,1390.0
7,120,69.5,0.042,1,1342.0
7,135,70.0,0.042,1,1298.0
7,150,69.9,0.042,1,1303.0
7,165,69.0,0.042,1,1396.0
7,180,69.4,0.042,1,1359.0
7,195,70.0,0.042,1,1294.0
7,210,70.8,0.042,1,1203.0
7,225,70.5,0.042,1,1269.0
7,240,70.4,0.042,1,1321.0
7,255,70.3,0.042,1,1263.0
7,270,71.4,0.042,1,1194.0
7,285,72.2,0.042,1,1176.0
7,300,71.7,0.042,1,1169.0
7,315,70.8,0.042,1,1250.0
7,330,69.7,0.042,1,1305.0
7,345,68.8,0.042,1,1393.0
7,360,65.8,0.042,1,1532.0
7,375,66.4,0.042,1,1610.0
7,390,63.6,0.042,1,1773.0
7,405,63.3,0.042,1,1786.0
7,420,62.6,0.042,1,1817.0
7,435,62.9,0.042,1,1849.0
7,450,64.6,0.042,1,1755.0
7,465,63.5,0.042,1,1778.0
7,480,63.1,0.042,1,1839.0
7,495,62.7,0.042,1,1830.0
7,510,62.8,0.042,1,1841.0
7,525,61.8,0.042,1,1838.0
7,540,64.0,0.042,1,1754.0
7,555,64.4,0.042,1,1674.0
7,570,68.4,0.042,1,1410.0
7,585,66.9,0.042,1,1454.0
7,600,68.7,0.042,1,1343.0
7,615,69.8,0.042,1,1270.0
7,630,69.6,0.042,1,1285.0
7,645,70.2,0.042,1,1278.0
7,660,69.8,0.042,1,1275.0
7,675,69.4,0.042,1,1286.0
7,690,69.4,0.042,1,1278.0
7,705,69.7,0.042,1,1306.0
7,720,70.1,0.042,1,1260.0
7,735,70.6,0.042,1,1223.0
7,750,70.0,0.042,1,1281.0
7,765,69.6,0.042,1,1277.0
7,780,69.1,0.042,1,1333.0
7,795,69.5,0.042,1,1281.0
7,810,69.9,0.042,1,1272.0
7,825,69.0,0.042,1,1284.0
7,840,69.3,0.042,1,1351.0
7,855,69.0,0.042,1,1241.0
7,870,68.2,0.042,1,1363.0
7,885,68.8,0.042,1,1310.0
7,900,68.3,0.042,1,1377.0
7,915,68.3,0.042,1,1379.0
7,930,67.8,0.042,1,1395.0
7,945,67.6,0.042,1,1412.0
7,960,68.2,0.042,1,1398.0
7,975,68.6,0.042,1,1332.0
7,990,69.5,0.042,1,1258.0
7,1005,69.0,0.042,1,1266.0
7,1020,69.8,0.042,1,1247.0
7,1035,69.4,0.042,1,1297.0
7,1050,70.2,0.042,1,1263.0
7,1065,69.5,0.042,1,1276.0
7,1080,70.2,0.042,1,1223.0
7,1095,70.7,0.042,1,1194.0
7,1110,70.7,0.042,1,1222.0
7,1125,70.0,0.042,1,1268.0
7,1140,68.9,0.042,1,1351.0
7,1155,69.1,0.042,1,1354.0
7,1170,69.2,0.042,1,1363.0
7,1185,68.3,0.042,1,1458.0
7,1200,68.6,0.042,1,1416.0
7,1215,69.2,0.042,1,1384.0
7,1230,68.0,0.042,1,1488.0
7,1245,68.2,0.042,1,1440.0
7,1260,69.4,0.042,1,1333.0
7,1275,68.3,0.042,1,1443.0
7,1290,68.4,0.042,1,1408.0
7,1305,67.7,0.042,1,1468.0
7,1320,67.4,0.042,1,1529.0
7,1335,67.7,0.042,1,1468.0
7,1350,67.8,0.042,1,1473.0
7,1365,67.5,0.042,1,1506.0
7,1380,66.9,0.042,1,1565.0
7,1395,67.1,0.042,1,1534.0
7,1410,66.9,0.042,1,1556.0
7,1425,66.3,0.042,1,1597.0
8,0,66.2,4.652,1,1594.0
8,15,65.1,4.652,1,1671.0
8,30,66.5,4.652,1,1595.0
8,45,67.0,4.652,1,1551.0
8,60,67.4,4.652,1,1523.0
8,75,67.7,4.652,1,1507.0
8,90,68.1,4.652,1,1478.0
8,105,68.3,4.652,1,1439.0
8,120,68.7,4.652,1,1411.0
8,135,68.7,4.652,1,1385.0
8,150,68.7,4.652,1,1402.0
8,165,68.1,4.652,1,1464.0
8,180,68.6,4.652,1,1413.0
8,195,69.6,4.652,1,1306.0
8,210,70.0,4.652,1,1316.0
8,225,70.6,4.652,1,1271.0
8,240,70.1,4.652,1,1301.0
8,255,69.7,4.652,1,1318.0
8,270,70.9,4.652,1,1196.0
8,285,72.0,4.652,1,1163.0
8,300,71.4,4.652,1,1197.0
8,315,70.3,4.652,1,1218.0
8,330,68.5,4.652,1,1412.0
8,345,67.0,4.652,1,1552.0
8,360,67.4,4.652,1,1499.0
8,375,68.4,4.652,1,1415.0
8,390,67.5,4.652,1,1502.0
8,405,67.0,4.652,1,1543.0
8,420,67.3,4.652,1,1552.0
8,435,66.9,4.652,1,1576.0
8,450,67.2,4.652,1,1536.0
8,465,66.1,4.652,1,1592.0
8,480,65.2,4.652,1,1688.0
8,495,66.1,4.652,1,1641.0
8,510,66.1,4.652,1,1656.0
8,525,65.6,4.652,1,1658.0
8,540,66.6,4.652,1,1605.0
8,555,67.2,4.652,1,1518.0
8,570,68.8,4.652,1,1373.0
8,585,68.8,4.652,1,1398.0
8,600,69.1,4.652,1,1284.0
8,615,69.2,4.652,1,1305.0
8,630,68.9,4.652,1,1343.0
8,645,70.2,4.652,1,1222.0
8,660,69.8,4.652,1,1273.0
8,675,69.4,4.652,1,1278.0
